team,group,confederation,is_host,elo_rating,elo_norm,fifa_ranking,fifa_norm,form_score,power_score,composite_rating,overall_rating,attack_coef,defense_coef,form_factor
Argentina,J,CONMEBOL,0,1990,81.7,1,100.0,50.0,50.0,71.1,71.1,1.45,0.67,1.0
Spain,H,UEFA,0,1985,80.8,2,99.5,50.0,50.0,70.7,70.7,1.43,0.68,1.0
France,I,UEFA,0,1980,80.0,3,99.0,50.0,50.0,70.3,70.3,1.41,0.69,1.0
Brazil,C,CONMEBOL,0,1970,78.3,5,98.0,50.0,50.0,69.5,69.5,1.36,0.71,1.0
England,L,UEFA,0,1965,77.5,4,98.5,50.0,50.0,69.3,69.3,1.36,0.71,1.0
Portugal,K,UEFA,0,1960,76.7,6,97.5,50.0,50.0,68.8,68.8,1.37,0.73,1.0
Germany,E,UEFA,0,1940,73.3,9,96.0,50.0,50.0,67.4,67.4,1.29,0.73,1.0
Netherlands,F,UEFA,0,1935,72.5,8,96.5,50.0,50.0,67.2,67.2,1.29,0.73,1.0
Morocco,C,CAF,0,1930,71.7,7,97.0,50.0,50.0,67.0,67.0,1.3,0.71,1.0
Croatia,L,UEFA,0,1900,66.7,10,95.5,50.0,50.0,64.9,64.9,1.22,0.78,1.0
Belgium,G,UEFA,0,1895,65.8,11,95.0,50.0,50.0,64.5,64.5,1.23,0.8,1.0
Uruguay,H,CONMEBOL,0,1905,67.5,17,92.0,50.0,50.0,64.5,64.5,1.22,0.79,1.0
Colombia,K,CONMEBOL,0,1895,65.8,13,94.0,50.0,50.0,64.3,64.3,1.24,0.81,1.0
Mexico,A,CONCACAF,1,1885,64.2,14,93.5,50.0,50.0,63.7,63.7,1.21,0.82,1.0
USA,D,CONCACAF,1,1855,59.2,16,92.5,50.0,50.0,61.7,61.7,1.19,0.83,1.0
Switzerland,B,UEFA,0,1850,58.3,19,91.0,50.0,50.0,61.1,61.1,1.18,0.82,1.0
Japan,F,AFC,0,1845,57.5,21,89.9,50.0,50.0,60.6,60.6,1.2,0.82,1.0
Iran,G,AFC,0,1830,55.0,20,90.5,50.0,50.0,59.8,59.8,1.16,0.82,1.0
Senegal,I,CAF,0,1835,55.8,23,88.9,50.0,50.0,59.8,59.8,1.18,0.83,1.0
South Korea,A,AFC,0,1830,55.0,23,88.9,50.0,50.0,59.5,59.5,1.17,0.84,1.0
Norway,I,UEFA,0,1830,55.0,24,88.4,50.0,50.0,59.4,59.4,1.17,0.83,1.0
Turkey,D,UEFA,0,1820,53.3,22,89.4,50.0,50.0,59.1,59.1,1.16,0.83,1.0
Austria,J,UEFA,0,1820,53.3,25,87.9,50.0,50.0,58.8,58.8,1.17,0.84,1.0
Australia,D,AFC,0,1800,50.0,24,88.4,50.0,50.0,57.7,57.7,1.14,0.85,1.0
Ecuador,E,CONMEBOL,0,1800,50.0,29,85.9,50.0,50.0,57.2,57.2,1.15,0.85,1.0
Sweden,F,UEFA,0,1810,51.7,38,81.4,50.0,50.0,56.9,56.9,1.14,0.84,1.0
Scotland,C,UEFA,0,1785,47.5,31,84.9,50.0,50.0,56.1,56.1,1.12,0.86,1.0
Ivory Coast,E,CAF,0,1780,46.7,34,83.4,50.0,50.0,55.5,55.5,1.13,0.87,1.0
Canada,B,CONCACAF,1,1800,50.0,47,76.9,50.0,50.0,55.4,55.4,1.13,0.85,1.0
Algeria,J,CAF,0,1775,45.8,32,84.4,50.0,50.0,55.4,55.4,1.12,0.86,1.0
Egypt,G,CAF,0,1755,42.5,36,82.4,50.0,50.0,53.9,53.9,1.1,0.88,1.0
Czech Republic,A,UEFA,0,1750,41.7,39,80.9,50.0,50.0,53.3,53.3,1.1,0.87,1.0
Tunisia,F,CAF,0,1740,40.0,44,78.4,50.0,50.0,52.2,52.2,1.09,0.87,1.0
Ghana,L,CAF,0,1735,39.2,53,73.9,50.0,50.0,51.0,51.0,1.09,0.89,1.0
Paraguay,D,CONMEBOL,0,1710,35.0,47,76.9,50.0,50.0,50.1,50.1,1.07,0.9,1.0
Saudi Arabia,H,AFC,0,1715,35.8,56,72.4,50.0,50.0,49.5,49.5,1.07,0.9,1.0
Bosnia Herzegovina,B,UEFA,0,1705,34.2,65,67.8,50.0,50.0,48.0,48.0,1.07,0.9,1.0
DR Congo,K,CAF,0,1690,31.7,67,66.8,50.0,50.0,47.0,47.0,1.04,0.91,1.0
Qatar,B,AFC,0,1610,18.3,37,81.9,50.0,50.0,45.3,45.3,0.93,0.96,1.0
Uzbekistan,K,AFC,0,1645,24.2,68,66.3,50.0,50.0,44.2,44.2,0.99,0.93,1.0
South Africa,A,CAF,0,1635,22.5,64,68.3,50.0,50.0,44.0,44.0,0.97,0.94,1.0
Panama,L,CONCACAF,0,1655,25.8,79,60.8,50.0,50.0,43.7,43.7,1.0,0.91,1.0
Iraq,I,AFC,0,1625,20.8,63,68.8,50.0,50.0,43.6,43.6,0.96,0.95,1.0
Cape Verde,H,CAF,0,1615,19.2,75,62.8,50.0,50.0,41.8,41.8,0.95,0.95,1.0
Jordan,J,AFC,0,1615,19.2,84,58.3,50.0,50.0,40.9,40.9,0.95,0.95,1.0
New Zealand,G,OFC,0,1610,18.3,91,54.8,50.0,50.0,39.9,39.9,0.92,0.96,1.0
Haiti,C,CONCACAF,0,1570,11.7,102,49.2,50.0,50.0,36.4,36.4,0.88,0.99,1.0
Curacao,E,CONCACAF,0,1545,7.5,100,50.3,50.0,50.0,35.2,35.2,0.86,1.01,1.0
